"Fecha","Tipo","Jugador/Beneficiario","De (Vendedor)","A (Comprador)","Importe"
"04/11/2025","Recompensa","Visite La Manga FC","","","6600000"
"04/11/2025","Recompensa","Morenazos FC","","","7100000"
"04/11/2025","Recompensa","Alcatamy eSports By","","","100000"
"04/11/2025","Recompensa","Pablinistan FC","","","100000"
"04/11/2025","Recompensa","Vigar FC","","","200000"
"03/11/2025","Recompensa","Visite La Manga FC","","","100000"
"03/11/2025","Traspaso","Kike Salas","Vigar FC","LALIGA","2315148"
"03/11/2025","Traspaso","Huijsen","LALIGA","Alcatamy eSports By","70115149"
"03/11/2025","Traspaso","Álex Baena","Alcatamy eSports By","Pablinistan FC","80000000"
"03/11/2025","Traspaso","Febas","Pablinistan FC","LALIGA","8701463"
"03/11/2025","Traspaso","O. Sancet","Pablinistan FC","LALIGA","33789471"
"03/11/2025","Traspaso","Rodrygo","Pablinistan FC","LALIGA","9411417"
"03/11/2025","Traspaso","De Frutos","Alcatamy eSports By","LALIGA","56348384"
"02/11/2025","Traspaso","Marcao","LALIGA","Pablinistan FC","689998"
"02/11/2025","Traspaso","Vivian","LALIGA","Alcatamy eSports By","32678825"
"01/11/2025","Traspaso","Areso","GOLENCIERRO FC","LALIGA","13570195"
"01/11/2025","Traspaso","Álvaro Nuñez","LALIGA","GOLENCIERRO FC","12000000"
"01/11/2025","Traspaso","Brais Méndez","LALIGA","GOLENCIERRO FC","13000500"
"01/11/2025","Traspaso","A. Moleiro","Pablinistan FC","Alcatamy eSports By","28494328"
"31/10/2025","Traspaso","Manuel Fernández","Pablinistan FC","LALIGA","767707"
"31/10/2025","Traspaso","De Frutos","Vigar FC","Alcatamy eSports By","51129893"
"31/10/2025","Traspaso","E. Militão","Alcatamy eSports By","Pablinistan FC","65909269"
"31/10/2025","Traspaso","Mouriño","LALIGA","Alcatamy eSports By","21750231"
"31/10/2025","Traspaso","Maffeo","LALIGA","Visite La Manga FC","3050000"
"31/10/2025","Traspaso","Isco","LALIGA","Pablinistan FC","13281863"
"31/10/2025","Traspaso","Valverde","LALIGA","Alcatamy eSports By","87532200"
"31/10/2025","Traspaso","Muriqi","LALIGA","Morenazos FC","20924810"
"30/10/2025","Blindaje","Vargas","","","0"
"30/10/2025","Traspaso","Manuel Fernández","Vigar FC","Pablinistan FC","1000001"
"30/10/2025","Blindaje","Juan Iglesias","","","0"
"30/10/2025","Traspaso","Marcos Llorente","Pablinistan FC","Vigar FC","71497163"
"30/10/2025","Traspaso","Krapyvtsov","Alcatamy eSports By","LALIGA","468188"
"30/10/2025","Traspaso","Mestre","LALIGA","Alcatamy eSports By","486011"
"29/10/2025","Traspaso","Á. Carreras","LALIGA","Vigar FC","60814223"
"28/10/2025","Blindaje","Catena","","","0"
"28/10/2025","Blindaje","Ounahi","","","0"
"28/10/2025","Traspaso","Arnau Tenas","Vigar FC","Pablinistan FC","2000000"
"28/10/2025","Traspaso","Agirrezabala","Vigar FC","Visite La Manga FC","18903850"
"28/10/2025","Traspaso","Pathé I. Ciss","Visite La Manga FC","LALIGA","12705780"
"28/10/2025","Blindaje","E. Militão","","","0"
"28/10/2025","Blindaje","Edu Expósito","","","0"
"28/10/2025","Traspaso","L. Milla","Alcatamy eSports By","Vigar FC","76082394"
"28/10/2025","Traspaso","Dmitrovic","Visite La Manga FC","GOLENCIERRO FC","14126944"
"28/10/2025","Blindaje","Lamine Yamal","","","0"
"28/10/2025","Blindaje","Vargas","","","0"
"28/10/2025","Traspaso","Júnior R.","LALIGA","Vigar FC","16510525"
"28/10/2025","Blindaje","A. Moleiro","","","0"
"28/10/2025","Traspaso","Álvaro García","Vigar FC","LALIGA","34125329"
"28/10/2025","Traspaso","Barrios","Vigar FC","LALIGA","60685623"
"28/10/2025","Recompensa","Pablinistan FC","","","8600000"
"28/10/2025","Recompensa","Morenazos FC","","","100000"
"28/10/2025","Recompensa","Alcatamy eSports By","","","100000"
"28/10/2025","Recompensa","Pablinistan FC","","","100000"
"28/10/2025","Recompensa","Morenazos FC","","","3000000"
"28/10/2025","Recompensa","GOLENCIERRO FC","","","6200000"
"28/10/2025","Recompensa","Visite La Manga FC","","","6500000"
"28/10/2025","Recompensa","Vigar FC","","","4700000"
"28/10/2025","Recompensa","Alcatamy eSports By","","","8100000"
"27/10/2025","Traspaso","Laporte","Vigar FC","LALIGA","28001761"
"27/10/2025","Traspaso","Ez Abde","GOLENCIERRO FC","Vigar FC","23901814"
"27/10/2025","Traspaso","Aleñá","LALIGA","Visite La Manga FC","13301663"
"27/10/2025","Traspaso","Pedri","Vigar FC","LALIGA","139455015"
"27/10/2025","Traspaso","Sergio Gómez","GOLENCIERRO FC","Pablinistan FC","8800283"
"26/10/2025","Traspaso","German V.","Pablinistan FC","LALIGA","19758434"
"25/10/2025","Traspaso","Amrabat","LALIGA","Alcatamy eSports By","8039027"
"25/10/2025","Traspaso","Barrios","LALIGA","Vigar FC","59000000"
"25/10/2025","Traspaso","Óscar Valentín","LALIGA","GOLENCIERRO FC","1100000"
"25/10/2025","Blindaje","Dmitrovic","","","0"
"25/10/2025","Traspaso","F. De Jong","Vigar FC","Pablinistan FC","59710854"
"25/10/2025","Traspaso","Fornals","Alcatamy eSports By","Pablinistan FC","71227521"
"25/10/2025","Traspaso","Rafa Marín","Pablinistan FC","LALIGA","40255776"
"24/10/2025","Traspaso","Bellingham","Pablinistan FC","Vigar FC","91043167"
"24/10/2025","Traspaso","Eric","Alcatamy eSports By","LALIGA","44280826"
"24/10/2025","Traspaso","Ristic","Vigar FC","LALIGA","461405"
"24/10/2025","Traspaso","Sow","LALIGA","Vigar FC","2500011"
"24/10/2025","Traspaso","Natan","LALIGA","Alcatamy eSports By","33947829"
"24/10/2025","Traspaso","A. Rahim","LALIGA","Visite La Manga FC","721477"
"24/10/2025","Traspaso","Rashford","Alcatamy eSports By","Vigar FC","97000000"
"23/10/2025","Traspaso","Pere Milla","Morenazos FC","GOLENCIERRO FC","17611318"
"23/10/2025","Traspaso","Arambarri","GOLENCIERRO FC","LALIGA","15816552"
"23/10/2025","Traspaso","I. Romero","GOLENCIERRO FC","LALIGA","11350782"
"23/10/2025","Traspaso","B. Iglesias","GOLENCIERRO FC","LALIGA","16799479"
"23/10/2025","Traspaso","Julián Alvarez","LALIGA","Alcatamy eSports By","131745458"
"23/10/2025","Traspaso","Barrenetxea","Alcatamy eSports By","LALIGA","52811031"
"23/10/2025","Traspaso","M. Narváez","Visite La Manga FC","LALIGA","602077"
"22/10/2025","Traspaso","Júnior R.","Pablinistan FC","LALIGA","17563342"
"22/10/2025","Blindaje","Edu Expósito","","","0"
"22/10/2025","Traspaso","B. Mayoral","Vigar FC","LALIGA","6721329"
"22/10/2025","Traspaso","A. Pedraza","LALIGA","GOLENCIERRO FC","1000001"
"22/10/2025","Traspaso","O. Sancet","LALIGA","Pablinistan FC","34306837"
"22/10/2025","Traspaso","Álvaro García","Morenazos FC","Vigar FC","26806713"
"22/10/2025","Traspaso","Etta Eyong","Vigar FC","LALIGA","102256908"
"21/10/2025","Blindaje","A. Moleiro","","","0"
"21/10/2025","Blindaje","Rafa Marín","","","0"
"21/10/2025","Traspaso","German V.","Vigar FC","Pablinistan FC","16909285"
"21/10/2025","Blindaje","Fornals","","","0"
"21/10/2025","Blindaje","F. De Jong","","","0"
"21/10/2025","Blindaje","Pedri","","","0"
"21/10/2025","Traspaso","Yuri","Vigar FC","LALIGA","16443351"
"21/10/2025","Blindaje","Lamine Yamal","","","0"
"21/10/2025","Traspaso","Alexis Sánchez","GOLENCIERRO FC","LALIGA","8028088"
"21/10/2025","Traspaso","Rubén García","LALIGA","Visite La Manga FC","3770765"
"21/10/2025","Traspaso","Gorrotxa","LALIGA","GOLENCIERRO FC","3000000"
"21/10/2025","Traspaso","Renato Veiga","LALIGA","Alcatamy eSports By","13752321"
"21/10/2025","Blindaje","Leo Román","","","0"
"21/10/2025","Blindaje","Tárrega","","","0"
"21/10/2025","Traspaso","Pepe","Vigar FC","LALIGA","84765731"
"21/10/2025","Recompensa","Alcatamy eSports By","","","8200000"
"21/10/2025","Recompensa","Vigar FC","","","100000"
"21/10/2025","Recompensa","Pablinistan FC","","","200000"
"21/10/2025","Recompensa","Morenazos FC","","","5400000"
"21/10/2025","Recompensa","GOLENCIERRO FC","","","4900000"
"21/10/2025","Recompensa","Visite La Manga FC","","","8700000"
"21/10/2025","Recompensa","Vigar FC","","","9900000"
"21/10/2025","Recompensa","Pablinistan FC","","","8100000"
"20/10/2025","Traspaso","Danjuma","Pablinistan FC","Visite La Manga FC","24889516"
"20/10/2025","Traspaso","Moncayola","Visite La Manga FC","LALIGA","6617703"
"20/10/2025","Traspaso","F. Calero","Pablinistan FC","LALIGA","1859469"
"20/10/2025","Traspaso","C. Alvarez","Alcatamy eSports By","LALIGA","10441480"
"20/10/2025","Traspaso","Camavinga","LALIGA","GOLENCIERRO FC","12000000"
"20/10/2025","Traspaso","Lejeune","LALIGA","Pablinistan FC","19900100"
"19/10/2025","Traspaso","Ratiu","Pablinistan FC","Visite La Manga FC","19910000"
"19/10/2025","Traspaso","Bellerín","Visite La Manga FC","LALIGA","23602827"
"19/10/2025","Traspaso","Rodrygo","Visite La Manga FC","Pablinistan FC","12648275"
"18/10/2025","Traspaso","Carmona","LALIGA","Vigar FC","10664400"
"18/10/2025","Traspaso","Cabrera","LALIGA","Vigar FC","8200011"
"17/10/2025","Traspaso","Juan Carlos","Pablinistan FC","LALIGA","569939"
"17/10/2025","Traspaso","Yuri","LALIGA","Vigar FC","14853917"
"17/10/2025","Traspaso","Arriaga","LALIGA","GOLENCIERRO FC","1200000"
"16/10/2025","Traspaso","De Frutos","LALIGA","Vigar FC","35876699"
"16/10/2025","Traspaso","Hassan","GOLENCIERRO FC","Visite La Manga FC","9705843"
"16/10/2025","Traspaso","Arambarri","Visite La Manga FC","GOLENCIERRO FC","16752642"
"16/10/2025","Traspaso","Pathé I. Ciss","GOLENCIERRO FC","Visite La Manga FC","14518023"
"16/10/2025","Traspaso","Blanco","Visite La Manga FC","Morenazos FC","7389292"
"16/10/2025","Traspaso","Iñaki Peña","GOLENCIERRO FC","Pablinistan FC","7585002"
"16/10/2025","Traspaso","Marcos Llorente","Vigar FC","Pablinistan FC","51688096"
"16/10/2025","Blindaje","Catena","","","0"
"16/10/2025","Traspaso","C. Alvarez","Morenazos FC","Alcatamy eSports By","8089164"
"16/10/2025","Traspaso","Raúl","GOLENCIERRO FC","LALIGA","932709"
"16/10/2025","Traspaso","P. Martínez","GOLENCIERRO FC","LALIGA","1308020"
"16/10/2025","Traspaso","J. M. Giménez","LALIGA","GOLENCIERRO FC","1759951"
"16/10/2025","Traspaso","Ferrer","LALIGA","Visite La Manga FC","472188"
"15/10/2025","Blindaje","Ratiu","","","0"
"15/10/2025","Traspaso","Febas","Visite La Manga FC","Pablinistan FC","5971877"
"14/10/2025","Blindaje","Vargas","","","0"
"14/10/2025","Traspaso","Valjent","GOLENCIERRO FC","LALIGA","6281369"
"13/10/2025","Traspaso","Juanlu","LALIGA","GOLENCIERRO FC","2252718"
"13/10/2025","Traspaso","Witsel","GOLENCIERRO FC","LALIGA","3826846"
"13/10/2025","Traspaso","Dani Olmo","Pablinistan FC","LALIGA","46222282"
"13/10/2025","Traspaso","Juan Carlos","LALIGA","Pablinistan FC","600010"
"13/10/2025","Traspaso","Pepe","Alcatamy eSports By","Vigar FC","84022101"
"12/10/2025","Traspaso","Dela","Morenazos FC","Pablinistan FC","1178381"
"11/10/2025","Traspaso","De Frutos","GOLENCIERRO FC","LALIGA","36232096"
"11/10/2025","Traspaso","Laporte","Pablinistan FC","Vigar FC","27202250"
"11/10/2025","Traspaso","Jauregizar","LALIGA","GOLENCIERRO FC","21467087"
"11/10/2025","Traspaso","Witsel","LALIGA","GOLENCIERRO FC","3808838"
"11/10/2025","Traspaso","P. Martínez","LALIGA","GOLENCIERRO FC","1539896"
"11/10/2025","Traspaso","I. Romero","LALIGA","GOLENCIERRO FC","11500000"
"10/10/2025","Traspaso","Arnau Tenas","LALIGA","Vigar FC","2000000"
"10/10/2025","Traspaso","Ez Abde","Alcatamy eSports By","GOLENCIERRO FC","16721064"
"10/10/2025","Traspaso","Rondón","LALIGA","Pablinistan FC","826027"
"10/10/2025","Traspaso","Álex Baena","LALIGA","Alcatamy eSports By","60000000"
"10/10/2025","Traspaso","Bellingham","Vigar FC","Pablinistan FC","83285315"
"10/10/2025","Traspaso","Etta Eyong","Pablinistan FC","Vigar FC","84358365"
"09/10/2025","Traspaso","Lewandowski","Vigar FC","LALIGA","68028446"
"09/10/2025","Traspaso","Griezmann","GOLENCIERRO FC","LALIGA","21663361"
"09/10/2025","Traspaso","Kounde","Morenazos FC","LALIGA","54463424"
"08/10/2025","Traspaso","Raíllo","Alcatamy eSports By","LALIGA","10927407"
"08/10/2025","Traspaso","Álvaro García","LALIGA","Morenazos FC","25321241"
"07/10/2025","Blindaje","Etta Eyong","","","0"
"07/10/2025","Blindaje","Dmitrovic","","","0"
"07/10/2025","Blindaje","Arda Güler","","","0"
"07/10/2025","Traspaso","Barrenetxea","LALIGA","Alcatamy eSports By","39125321"
"07/10/2025","Traspaso","Ferran","Vigar FC","LALIGA","73855622"
"07/10/2025","Blindaje","Aarón","","","0"
"07/10/2025","Traspaso","Rafa Marín","Vigar FC","Pablinistan FC","36638995"
"06/10/2025","Traspaso","Álvaro Nuñez","Pablinistan FC","LALIGA","9369371"
"06/10/2025","Traspaso","Kounde","LALIGA","Morenazos FC","52004308"
"06/10/2025","Traspaso","Ilaix Moriba","LALIGA","Morenazos FC","8100000"
"06/10/2025","Traspaso","Riedel","LALIGA","Alcatamy eSports By","1962198"
"06/10/2025","Traspaso","Lewandowski","LALIGA","Vigar FC","81288800"
"06/10/2025","Recompensa","Morenazos FC","","","100000"
"06/10/2025","Recompensa","Visite La Manga FC","","","100000"
"06/10/2025","Recompensa","Vigar FC","","","100000"
"06/10/2025","Recompensa","Pablinistan FC","","","200000"
"06/10/2025","Recompensa","Morenazos FC","","","4200000"
"06/10/2025","Recompensa","Visite La Manga FC","","","6600000"
"06/10/2025","Recompensa","Vigar FC","","","6100000"
"06/10/2025","Recompensa","GOLENCIERRO FC","","","5700000"
"06/10/2025","Recompensa","Alcatamy eSports By","","","6400000"
"06/10/2025","Recompensa","Pablinistan FC","","","9700000"
"05/10/2025","Traspaso","Cayetano","Pablinistan FC","LALIGA","363836"
"05/10/2025","Traspaso","Bellerín","LALIGA","Visite La Manga FC","15854906"
"05/10/2025","Traspaso","German V.","LALIGA","Vigar FC","12219601"
"05/10/2025","Blindaje","Cucho","","","0"
"05/10/2025","Traspaso","Cardona","Vigar FC","LALIGA","35984503"
"05/10/2025","Traspaso","Alexis Sánchez","Alcatamy eSports By","GOLENCIERRO FC","4805015"
"04/10/2025","Traspaso","Mouriño","Alcatamy eSports By","LALIGA","31340701"
"04/10/2025","Traspaso","Moncayola","Morenazos FC","Visite La Manga FC","6177938"
"04/10/2025","Traspaso","Fornals","Pablinistan FC","Alcatamy eSports By","41299905"
"04/10/2025","Traspaso","Rafa Mir","Alcatamy eSports By","LALIGA","20919179"
"04/10/2025","Traspaso","Boyomo","Alcatamy eSports By","LALIGA","23449730"
"04/10/2025","Traspaso","Danjuma","LALIGA","Pablinistan FC","15300050"
"04/10/2025","Traspaso","Víctor Muñoz","Pablinistan FC","GOLENCIERRO FC","9387902"
"04/10/2025","Traspaso","Unai Lopez","Vigar FC","LALIGA","2581630"
"03/10/2025","Traspaso","Azpilicueta","LALIGA","Visite La Manga FC","5309642"
"03/10/2025","Traspaso","Szczesny","LALIGA","Alcatamy eSports By","6195323"
"03/10/2025","Traspaso","Rodrygo","LALIGA","Visite La Manga FC","12648275"
"02/10/2025","Traspaso","Dendoncker","GOLENCIERRO FC","LALIGA","5513228"
"02/10/2025","Blindaje","Ferran","","","0"
"02/10/2025","Traspaso","Marcos Llorente","Visite La Manga FC","Vigar FC","39962224"
"02/10/2025","Traspaso","Javi Guerra","Vigar FC","LALIGA","23998312"
"02/10/2025","Blindaje","Sergio Herrera","","","0"
"02/10/2025","Traspaso","C. Alvarez","Alcatamy eSports By","Morenazos FC","7006164"
"02/10/2025","Traspaso","Catena","Morenazos FC","Vigar FC","27818676"
"02/10/2025","Traspaso","F. De Jong","LALIGA","Vigar FC","54710854"
"02/10/2025","Traspaso","C. Romero","LALIGA","Morenazos FC","14000000"
"02/10/2025","Traspaso","Juan Iglesias","LALIGA","Vigar FC","3200000"
"02/10/2025","Traspaso","B. Mayoral","LALIGA","Vigar FC","5200000"
"02/10/2025","Traspaso","André Silva","Pablinistan FC","Vigar FC","7963155"
"02/10/2025","Traspaso","Lo Celso","Vigar FC","LALIGA","79363877"
"01/10/2025","Blindaje","Cucho","","","0"
"01/10/2025","Traspaso","R. Mendoza","Vigar FC","LALIGA","5037089"
"01/10/2025","Blindaje","Rafa Mir","","","0"
"01/10/2025","Traspaso","Antony","Alcatamy eSports By","LALIGA","92653016"
"01/10/2025","Traspaso","L. Milla","LALIGA","Alcatamy eSports By","51235021"
"01/10/2025","Traspaso","Rashford","LALIGA","Alcatamy eSports By","57265321"
"01/10/2025","Blindaje","Júnior R.","","","0"
"01/10/2025","Traspaso","Vargas","Vigar FC","Visite La Manga FC","27987227"
"01/10/2025","Blindaje","Agirrezabala","","","0"
"01/10/2025","Recompensa","Alcatamy eSports By","","","100000"
"01/10/2025","Recompensa","GOLENCIERRO FC","","","100000"
"01/10/2025","Recompensa","Morenazos FC","","","5600000"
"01/10/2025","Recompensa","Visite La Manga FC","","","6300000"
"01/10/2025","Recompensa","Vigar FC","","","5100000"
"01/10/2025","Recompensa","Alcatamy eSports By","","","9100000"
"01/10/2025","Recompensa","GOLENCIERRO FC","","","7400000"
"01/10/2025","Recompensa","Pablinistan FC","","","8500000"
"30/09/2025","Traspaso","Pathé I. Ciss","Morenazos FC","GOLENCIERRO FC","8158533"
"30/09/2025","Traspaso","Hassan","Visite La Manga FC","GOLENCIERRO FC","3987843"
"30/09/2025","Traspaso","Dendoncker","Morenazos FC","GOLENCIERRO FC","6377160"
"30/09/2025","Traspaso","De Frutos","Alcatamy eSports By","GOLENCIERRO FC","30477321"
"30/09/2025","Traspaso","Budimir","GOLENCIERRO FC","LALIGA","39112956"
"30/09/2025","Blindaje","Dmitrovic","","","0"
"30/09/2025","Traspaso","Altimira","Visite La Manga FC","LALIGA","16001843"
"30/09/2025","Traspaso","Febas","GOLENCIERRO FC","Visite La Manga FC","3062130"
"30/09/2025","Traspaso","Arambarri","GOLENCIERRO FC","Visite La Manga FC","15406158"
"30/09/2025","Blindaje","Aarón","","","0"
"30/09/2025","Traspaso","Bryan Gil","LALIGA","Morenazos FC","8711629"
"30/09/2025","Traspaso","Ruggeri","LALIGA","Morenazos FC","9715641"
"29/09/2025","Traspaso","Tchouaméni","Morenazos FC","LALIGA","58254359"
"29/09/2025","Traspaso","Alex Moreno","LALIGA","GOLENCIERRO FC","5000000"
"29/09/2025","Traspaso","Antony","LALIGA","Alcatamy eSports By","88892996"
"29/09/2025","Traspaso","E. Militão","LALIGA","Alcatamy eSports By","51909269"
"28/09/2025","Traspaso","Griezmann","LALIGA","GOLENCIERRO FC","24000001"
"28/09/2025","Traspaso","Budimir","LALIGA","GOLENCIERRO FC","39000001"
"28/09/2025","Traspaso","Valjent","LALIGA","GOLENCIERRO FC","8000001"
"28/09/2025","Blindaje","De Frutos","","","0"
"28/09/2025","Traspaso","Tárrega","GOLENCIERRO FC","Visite La Manga FC","17981045"
"28/09/2025","Traspaso","Carvajal","Visite La Manga FC","LALIGA","32721801"
"28/09/2025","Blindaje","Dmitrovic","","","0"
"28/09/2025","Traspaso","F. Garcés","GOLENCIERRO FC","LALIGA","6438843"
"28/09/2025","Traspaso","Berenguer","GOLENCIERRO FC","LALIGA","34444800"
"27/09/2025","Traspaso","Laporte","LALIGA","Pablinistan FC","27202250"
"27/09/2025","Traspaso","Bryan","LALIGA","Morenazos FC","11993467"
"27/09/2025","Traspaso","Tchouaméni","LALIGA","Morenazos FC","59319300"
"27/09/2025","Traspaso","El Hilali","LALIGA","Visite La Manga FC","5500000"
"27/09/2025","Traspaso","Iñigo Perez","LALIGA","GOLENCIERRO FC","1042282"
"27/09/2025","Traspaso","Nico Gonzalez","Alcatamy eSports By","LALIGA","28193185"
"27/09/2025","Traspaso","A. J. Morales","Visite La Manga FC","LALIGA","3231557"
"27/09/2025","Traspaso","José Bordalás","Visite La Manga FC","LALIGA","809938"
"26/09/2025","Traspaso","I. Romero","GOLENCIERRO FC","LALIGA","4664737"
"26/09/2025","Traspaso","German V.","GOLENCIERRO FC","LALIGA","10909682"
"26/09/2025","Traspaso","Iago Aspas","Pablinistan FC","LALIGA","16921691"
"26/09/2025","Traspaso","A. Batalla","Visite La Manga FC","LALIGA","12103526"
"26/09/2025","Traspaso","Pepe","LALIGA","Alcatamy eSports By","73860899"
"26/09/2025","Traspaso","Unai Lopez","LALIGA","Vigar FC","3000000"
"26/09/2025","Traspaso","Raíllo","LALIGA","Alcatamy eSports By","10791168"
"26/09/2025","Traspaso","Bellingham","LALIGA","Vigar FC","80000001"
"26/09/2025","Traspaso","Pere Milla","LALIGA","Morenazos FC","9785241"
"26/09/2025","Traspaso","Dani Calvo","Pablinistan FC","LALIGA","1551485"
"26/09/2025","Traspaso","A. Fortuño","Visite La Manga FC","LALIGA","498917"
"26/09/2025","Traspaso","Buchanan","Vigar FC","LALIGA","35262101"
"26/09/2025","Recompensa","Morenazos FC","","","100000"
"26/09/2025","Recompensa","Alcatamy eSports By","","","200000"
"26/09/2025","Recompensa","Pablinistan FC","","","300000"
"26/09/2025","Recompensa","GOLENCIERRO FC","","","100000"
"26/09/2025","Recompensa","Morenazos FC","","","7300000"
"26/09/2025","Recompensa","Visite La Manga FC","","","4400000"
"26/09/2025","Recompensa","Alcatamy eSports By","","","7900000"
"26/09/2025","Recompensa","Vigar FC","","","6000000"
"26/09/2025","Recompensa","Pablinistan FC","","","8100000"
"26/09/2025","Recompensa","GOLENCIERRO FC","","","5300000"
"25/09/2025","Traspaso","Blanco","LALIGA","Visite La Manga FC","7389292"
"25/09/2025","Traspaso","Álvaro Nuñez","Vigar FC","Pablinistan FC","6236377"
"25/09/2025","Traspaso","Eric","Pablinistan FC","Alcatamy eSports By","28086288"
"25/09/2025","Traspaso","Dani Calvo","Morenazos FC","Pablinistan FC","1411596"
"25/09/2025","Traspaso","Gudelj","Pablinistan FC","LALIGA","3340101"
"24/09/2025","Blindaje","Tárrega","","","0"
"24/09/2025","Traspaso","Lamine Yamal","Alcatamy eSports By","GOLENCIERRO FC","200024667"
"24/09/2025","Traspaso","Comesaña","GOLENCIERRO FC","LALIGA","5559993"
"24/09/2025","Traspaso","Raphinha","GOLENCIERRO FC","Morenazos FC","190031541"
"24/09/2025","Blindaje","Agirrezabala","","","0"
"24/09/2025","Blindaje","Marcos Llorente","","","0"
"24/09/2025","Blindaje","Vini Jr.","","","0"
"24/09/2025","Traspaso","Mbappé","Morenazos FC","Visite La Manga FC","220000000"
"24/09/2025","Traspaso","Gueye","Visite La Manga FC","LALIGA","33795754"
"24/09/2025","Traspaso","Tenaglia","Visite La Manga FC","LALIGA","17378916"
"24/09/2025","Traspaso","E. Militão","Visite La Manga FC","LALIGA","52745980"
"24/09/2025","Traspaso","Pedri","LALIGA","Vigar FC","117691298"
"24/09/2025","Traspaso","Dani Olmo","LALIGA","Pablinistan FC","52646460"
"24/09/2025","Traspaso","Cayetano","LALIGA","Pablinistan FC","376077"
"24/09/2025","Traspaso","Swiderski","Pablinistan FC","LALIGA","339115"
"24/09/2025","Traspaso","L. Milla","Pablinistan FC","LALIGA","43165440"
"24/09/2025","Traspaso","Laporte","Alcatamy eSports By","LALIGA","26455770"
"24/09/2025","Traspaso","Bartra","Alcatamy eSports By","LALIGA","41436205"
"23/09/2025","Traspaso","Pepe","Visite La Manga FC","LALIGA","79551594"
"23/09/2025","Traspaso","Arda Güler","LALIGA","Alcatamy eSports By","109563212"
"23/09/2025","Traspaso","Lewandowski","Alcatamy eSports By","LALIGA","67371576"
"22/09/2025","Traspaso","Antony","Vigar FC","LALIGA","103426601"
"22/09/2025","Traspaso","M. Narváez","LALIGA","Visite La Manga FC","700173"
"22/09/2025","Traspaso","Tenaglia","LALIGA","Visite La Manga FC","17876922"
"22/09/2025","Traspaso","Domenech","LALIGA","Visite La Manga FC","428963"
"22/09/2025","Traspaso","Rafa Marín","LALIGA","Vigar FC","31500000"
"22/09/2025","Blindaje","Tárrega","","","0"
"22/09/2025","Blindaje","Edu Expósito","","","0"
"22/09/2025","Traspaso","A. J. Morales","Morenazos FC","Visite La Manga FC","5234140"
"22/09/2025","Blindaje","Aarón","","","0"
"22/09/2025","Blindaje","Agirrezabala","","","0"
"22/09/2025","Traspaso","Pepe","Vigar FC","Visite La Manga FC","71317282"
"22/09/2025","Traspaso","A. Batalla","Vigar FC","Visite La Manga FC","13000000"
"22/09/2025","Traspaso","Foulquier","Visite La Manga FC","Morenazos FC","7716890"
"22/09/2025","Recompensa","Pablinistan FC","","","100000"
"22/09/2025","Recompensa","Visite La Manga FC","","","100000"
"22/09/2025","Recompensa","Vigar FC","","","100000"
"22/09/2025","Recompensa","GOLENCIERRO FC","","","100000"
"22/09/2025","Recompensa","Morenazos FC","","","5900000"
"22/09/2025","Recompensa","Alcatamy eSports By","","","8300000"
"22/09/2025","Recompensa","Pablinistan FC","","","8600000"
"22/09/2025","Recompensa","Visite La Manga FC","","","6400000"
"22/09/2025","Recompensa","Vigar FC","","","9300000"
"21/09/2025","Recompensa","GOLENCIERRO FC","","","8300000"
"21/09/2025","Traspaso","Marcos Alonso","Morenazos FC","LALIGA","9515205"
"21/09/2025","Traspaso","Mikautadze","Morenazos FC","LALIGA","31509878"
"21/09/2025","Traspaso","F. Calero","Morenazos FC","Pablinistan FC","2005016"
"21/09/2025","Traspaso","C. Soler","Pablinistan FC","LALIGA","18078828"
"21/09/2025","Traspaso","Ratiu","LALIGA","Pablinistan FC","15688000"
"21/09/2025","Traspaso","B. Iglesias","LALIGA","GOLENCIERRO FC","8729511"
"21/09/2025","Traspaso","Bartra","LALIGA","Alcatamy eSports By","46796595"
"21/09/2025","Traspaso","Javi Guerra","LALIGA","Vigar FC","21272086"
"21/09/2025","Blindaje","Júnior R.","","","0"
"20/09/2025","Blindaje","Hassan","","","0"
"20/09/2025","Traspaso","Fornals","Visite La Manga FC","Pablinistan FC","27980278"
"20/09/2025","Traspaso","V. Rosier","Pablinistan FC","LALIGA","19891402"
"20/09/2025","Traspaso","L. Milla","Visite La Manga FC","Pablinistan FC","39147942"
"20/09/2025","Traspaso","Gueye","Pablinistan FC","Visite La Manga FC","34193668"
"20/09/2025","Traspaso","Juanlu","Pablinistan FC","LALIGA","3338116"
"20/09/2025","Traspaso","Etta Eyong","Alcatamy eSports By","Pablinistan FC","48046785"
"20/09/2025","Traspaso","Moncayola","LALIGA","Morenazos FC","5300000"
"20/09/2025","Traspaso","Mikautadze","LALIGA","Morenazos FC","28972463"
"20/09/2025","Traspaso","Alexis Sánchez","LALIGA","Alcatamy eSports By","4375212"
"20/09/2025","Traspaso","Ez Abde","LALIGA","Alcatamy eSports By","3489303"
"20/09/2025","Traspaso","Boyomo","Pablinistan FC","Alcatamy eSports By","21027506"
"19/09/2025","Traspaso","Ilaix Moriba","Alcatamy eSports By","LALIGA","5646357"
"19/09/2025","Traspaso","Altimira","LALIGA","Visite La Manga FC","24000000"
"19/09/2025","Traspaso","Léo Pétrot","LALIGA","Visite La Manga FC","659353"
"19/09/2025","Traspaso","Iago Aspas","LALIGA","Pablinistan FC","20155555"
