"Fecha","Tipo","Jugador/Beneficiario","De (Vendedor)","A (Comprador)","Importe"
"09/12/2025","Traspaso","Julián Alvarez","Alcatamy eSports By","GOLENCIERRO FC","176736844"
"09/12/2025","Recompensa","Pablinistan FC","","","3600000"
"09/12/2025","Recompensa","Vigar FC","","","6900000"
"09/12/2025","Recompensa","Alcatamy eSports By","","","5400000"
"09/12/2025","Recompensa","GOLENCIERRO FC","","","6100000"
"09/12/2025","Recompensa","Visite La Manga FC","","","6500000"
"09/12/2025","Recompensa","Morenazos FC","","","5500000"
"09/12/2025","Recompensa","Vigar FC","","","100000"
"08/12/2025","Traspaso","L. Milla","Vigar FC","LALIGA","107207019"
"08/12/2025","Traspaso","R. Araujo","GOLENCIERRO FC","LALIGA","10104916"
"08/12/2025","Traspaso","Raíllo","GOLENCIERRO FC","LALIGA","6389437"
"08/12/2025","Blindaje","Azpilicueta","","","0"
"08/12/2025","Traspaso","Dolan","Pablinistan FC","LALIGA","4000093"
"08/12/2025","Traspaso","Ayoze","GOLENCIERRO FC","Pablinistan FC","48000000"
"08/12/2025","Traspaso","Arda Güler","LALIGA","Vigar FC","128500001"
"08/12/2025","Traspaso","Le Normand","LALIGA","Alcatamy eSports By","27990212"
"08/12/2025","Traspaso","Daley Blind","LALIGA","GOLENCIERRO FC","1764958"
"08/12/2025","Traspaso","Cucho","Vigar FC","LALIGA","72007617"
"08/12/2025","Traspaso","Lewandowski","Vigar FC","LALIGA","113768891"
"07/12/2025","Traspaso","Gayá","Alcatamy eSports By","Pablinistan FC","2753766"
"07/12/2025","Traspaso","Bartra","Pablinistan FC","LALIGA","32613934"
"07/12/2025","Traspaso","Fran García","LALIGA","Alcatamy eSports By","873811"
"07/12/2025","Traspaso","Amrabat","Pablinistan FC","LALIGA","7024966"
"07/12/2025","Traspaso","Gerard","Alcatamy eSports By","LALIGA","36166227"
"06/12/2025","Traspaso","Marcao","Pablinistan FC","LALIGA","644724"
"06/12/2025","Traspaso","Juanlu","GOLENCIERRO FC","LALIGA","1287813"
"06/12/2025","Traspaso","Pepe","GOLENCIERRO FC","LALIGA","39225631"
"06/12/2025","Traspaso","Yuri","LALIGA","GOLENCIERRO FC","18500000"
"06/12/2025","Traspaso","Peque","LALIGA","Visite La Manga FC","568285"
"06/12/2025","Traspaso","Comesaña","Alcatamy eSports By","Vigar FC","28560584"
"05/12/2025","Traspaso","Bryan Gil","Alcatamy eSports By","LALIGA","2580975"
"05/12/2025","Traspaso","Barrios","LALIGA","Morenazos FC","68000000"
"05/12/2025","Traspaso","F. De Jong","LALIGA","Alcatamy eSports By","51553021"
"05/12/2025","Traspaso","Gazzaniga","GOLENCIERRO FC","Alcatamy eSports By","5500000"
"04/12/2025","Traspaso","Muriqi","Visite La Manga FC","Pablinistan FC","32924810"
"04/12/2025","Blindaje","Amrabat","","","0"
